Ep No.,Name,Type,Date
986,Fighting Music! An Ability That Harms Luffy!,Manga Canon,2021-08-08
987,His Dream Broken?! The Trap That Lures Sanji!,Manga Canon,2021-08-15
988,Reinforcements Arrive! The Commander of the Whitebeard Pirates!,Mixed Canon/Filler,2021-08-22
989,The Pact Between Men! The Fierce Fighting of Brachio Tank!,Mixed Canon/Filler,2021-08-29
990,Thunder Bagua! Here Comes Kaido's Son!,Manga Canon,2021-09-05
991,Enemy or Ally? Luffy and Yamato!,Mixed Canon/Filler,2021-09-12
992,Desire To Be Oden! Yamato’s Dream!,Manga Canon,2021-09-19
993,Explosive?! The Handcuffs That Shackle Yamato’s Freedom!,Manga Canon,2021-09-26
994,The Akazaya Face-off! Kikunojo vs. Kanjuro!,Manga Canon,2021-10-03
995,Raid! Inheriting Oden's Will,Manga Canon,2021-10-10
996,Onigashima in Tumult! Luffy’s All-out War Begins!,Manga Canon,2021-10-24
997,"The Battle Under the Moon! The Berserker, Sulong the Moon Lion!",Manga Canon,2021-10-31
998,Zeus' Treason?! The Cornered Nami!,Manga Canon,2021-11-07
999,I'll Protect You! Yamato Meets Momonosuke!,Manga Canon,2021-11-14
1000,Overwhelming Strength! The Straw Hats Come Together!,Manga Canon,2021-11-21
1001,A Risky Invitation! A Plot to Eliminate Queen!,Manga Canon,2021-11-28
1002,A New Rivalry! Nami and Ulti!,Manga Canon,2021-12-05
1003,"A Heroic Blade! Akazaya vs. Kaido, Again Once More!",Manga Canon,2021-12-12
1004, An Inherited Technique! Unleashing Oden's Secret Swordplay!,Manga Canon,2021-12-19
1005,The Power of the Ice Oni! A New Version of the Plague Rounds!,Manga Canon,2022-01-09
1006, I Won't Forgive Him! Chopper's Determination!,Manga Canon,2022-01-16
1007,Zoro's Pursuit! Ice Oni Tag!,Manga Canon,2022-01-23
1008,Nami Surrenders?! Ulti's Fierce Headbutt!,Manga Canon,2022-01-30
1009,Sasaki's Onslaught! Armored Division vs. Yamato!,Manga Canon,2022-02-06
1010, Eliminate the Ice Oni! Chopper's Fire Trick!,Manga Canon,2022-02-13
1011,It's Not Okay! The Spider Lures Sanji!,Manga Canon,2022-02-20
1012,A Turnaround Move! The Flames of Marco the Phoenix!,Manga Canon,2022-02-27
1013,Yamato's Past! The Man Who Came for an Emperor of the Sea!,Manga Canon,2022-03-06
1014,Marco's Tears! The Bond of the Whitebeard Pirates!,Manga Canon,2022-04-17
1015,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,Manga Canon,2022-04-24
1016,The Battle of the Monsters! The Three Stubborn Captains!,Manga Canon,2022-05-08
1017,A Barrage of Powerful Techniques! The Fierce Attacks of the Worst Generation!,Manga Canon,2022-05-15
1018,Kaido Laughs! The Emperors of the Sea vs. New Generation!,Manga Canon,2022-05-22
1019,Otama's Secret Plan! Operation Kibi Dango!,Manga Canon,2022-05-29
1020,Sanji's Scream! An SOS Echoes Over the Island!,Manga Canon,2022-06-05
1021,Spank Strikes! Sanji's Woman-trouble!,Manga Canon,2022-06-12
1022,"No Regrets! Luffy and Boss, a Master-Disciple Bond!",Manga Canon,2022-06-19
1023,All Set! Chopperhage Nebulizer!,Manga Canon,2022-07-03
1024,Oden Appears! The Confused Hearts of the Akazaya Members!,Manga Canon,2022-07-10
1025,The Worst Generation Gets Wiped Out?! The Emperors' Deadly Attack!,Manga Canon,2022-07-17
1026,The Supernovas Strike Back! The Mission to Tear Apart the Four Emperors!,Manga Canon,2022-07-24
1027,Defend Luffy! Zoro and Law's Sword Technique!,Manga Canon,2022-07-31
1028,Surpass the Emperor of the Sea! Luffy Strikes Back with an Iron Fist!,Manga Canon,2022-08-07
1029,A Faint Memory! Luffy and Red-Haired's Daughter Uta!,Filler,2022-08-14
1030,A Pledge for the New Genesis! Luffy and Uta!,Filler,2022-08-21
1031,Nami Screams! A Deadly Death Race!,Manga Canon,2022-09-04
1032,The Dawn of the Land of Wano - The All-Out Battle Heats Up!,Manga Canon,2022-09-11
1033," The Conclusion! Luffy, Accelerating Fist of the Supreme King",Manga Canon,2022-09-18
1034,Luffy Defeated! The Straw Hats in Jeopardy?!,Manga Canon,2022-09-25
1035,The Animal Kingdom Pirates Trample Down! The End of the Kozuki Clan!,Manga Canon,2022-10-02
